"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Diode Type,Voltage - DC Reverse (Vr) (Max),Current - Average Rectified (Io),Voltage - Forward (Vf) (Max) @ If,Speed,Reverse Recovery Time (trr),Current - Reverse Leakage @ Vr,"Capacitance @ Vr, F",Mounting Type,Package / Case,Supplier Device Package,Operating Temperature - Junction,Stock,Package,Column3,Column4,Column5
http://www.mccsemi.com/up_pdf/B5817WS-B5819WS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,B5819WS-TPMSCT-ND,B5819WS-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 1A SOD323,87700,0,0.49,0,1,Cut Tape (CT),-,Schottky,40V,1A,600mV @ 1A,"Fast Recovery =< 500ns, > 200mA (Io)",-,1mA @ 40V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/SD103AWS-SD103CWS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,SD103AWSTPMSCT-ND,SD103AWS-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 350MA SOD323,27557,0,0.35,0,1,Cut Tape (CT),-,Schottky,40V,350mA,600mV @ 200mA,"Fast Recovery =< 500ns, > 200mA (Io)",10ns,5ÂµA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/SD103AWS-SD103CWS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,SD103BWSTPMSCT-ND,SD103BWS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 350MA SOD323,20633,0,0.35,0,1,Cut Tape (CT),-,Schottky,30V,350mA,600mV @ 200mA,"Fast Recovery =< 500ns, > 200mA (Io)",10ns,5ÂµA @ 20V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/SD103AWS-SD103CWS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,SD103CWSTPMSCT-ND,SD103CWS-TP,Micro Commercial Co,DIODE SCHOTTKY 20V 350MA SOD323,0,0,0.35,0,1,Cut Tape (CT),-,Schottky,20V,350mA,600mV @ 200mA,"Fast Recovery =< 500ns, > 200mA (Io)",10ns,5ÂµA @ 10V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/BSR106WS(SOD-323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,BSR106WS-TPMSCT-ND,BSR106WS-TP,Micro Commercial Co,DIODE SCHOTTKY 60V 1A SOD323,2532,0,0.49,0,1,Cut Tape (CT),-,Schottky,60V,1A,700mV @ 1A,"Fast Recovery =< 500ns, > 200mA (Io)",-,100ÂµA @ 60V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-65Â°C ~ 125Â°C,SPECIAL-ORDER,,,,
http://www.mccsemi.com/up_pdf/SD107WS(SOD-323).PDF,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,SD107WS-TPMSCT-ND,SD107WS-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 100MA SOD323,47530,0,0.35,0,1,Cut Tape (CT),-,Schottky,30V,100mA,800mV @ 100mA,"Small Signal =< 200mA (Io), Any Speed",-,1ÂµA @ 25V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,SPECIAL-ORDER,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX02520-MBRX02560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX02520TPMSCT-ND,MBRX02520-TP,Micro Commercial Co,DIODE SCHOTTKY 20V 250MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,20V,250mA,450mV @ 250mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,500ÂµA @ 20V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX02520-MBRX02560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX02530TPMSCT-ND,MBRX02530-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 250MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,30V,250mA,550mV @ 250mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,500ÂµA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX02520-MBRX02560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX02540TPMSCT-ND,MBRX02540-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 250MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,40V,250mA,550mV @ 250mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,500ÂµA @ 40V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX02520-MBRX02560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX02550TPMSCT-ND,MBRX02550-TP,Micro Commercial Co,DIODE SCHOTTKY 50V 250MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,50V,250mA,700mV @ 250mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,500ÂµA @ 50V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX02520-MBRX02560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX02560TPMSCT-ND,MBRX02560-TP,Micro Commercial Co,DIODE SCHOTTKY 60V 250MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,60V,250mA,700mV @ 250mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,500ÂµA @ 60V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 150Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX0520-MBRX0560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX0520TPMSCT-ND,MBRX0520-TP,Micro Commercial Co,DIODE SCHOTTKY 20V 500MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,20V,500mA,450mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,300ÂµA @ 20V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX0520-MBRX0560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX0530TPMSCT-ND,MBRX0530-TP,Micro Commercial Co,DIODE SCHOTTKY 30V 500MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,30V,500mA,550mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,300ÂµA @ 30V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX0520-MBRX0560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX0540TPMSCT-ND,MBRX0540-TP,Micro Commercial Co,DIODE SCHOTTKY 40V 500MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,40V,500mA,550mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,300ÂµA @ 40V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Micro%20Commercial%20PDFs/MBRX0520-MBRX0560(SOD323).pdf,http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD-323.jpg,MBRX0560TPMSCT-ND,MBRX0560-TP,Micro Commercial Co,DIODE SCHOTTKY 60V 500MA SOD323,0,0,Call,0,1,Cut Tape (CT),-,Schottky,60V,500mA,700mV @ 500mA,"Fast Recovery =< 500ns, > 200mA (Io)",-,300ÂµA @ 60V,-,Surface Mount,"SC-76, SOD-323",SOD-323,-55Â°C ~ 125Â°C,,,,,
http://www.toshiba.com/taec/components2/Datasheet_Sync/200612/DST_CRS08-TDE_EN_1640.pdf,http://media.digikey.com/Renders/Toshiba%20Renders/SOD-123F%20Pkg.jpg,CRS08QMCT-ND,"CRS08(TE85L,Q,M)",Toshiba Semiconductor and Storage,DIODE SCHOTTKY 30V 1.5A SFLAT,46290,0,0.58,0,1,Cut Tape (CT),-,Schottky,30V,1.5A,360mV @ 1.5A,"Fast Recovery =< 500ns, > 200mA (Io)",-,1mA @ 30V,-,Surface Mount,SOD-123F,S-FLAT (1.6x3.5),-40Â°C ~ 125Â°C,STOCK,,,,
