Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8618-ND,FK28X7R1E104K,TDK Corporation,CAP CER 0.1UF 25V 10% RADIAL,2906,0,0.3,0,1,Bulk,FK,0.1åuF,å±10%,25V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4714-ND,FK28C0G1H100D,TDK Corporation,CAP CER 10PF 50V RADIAL,5499,0,0.3,0,1,Bulk,FK,10pF,Œ±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,STOCK,10pFSTOCK,CAPRB500W53L550T250H550_HS,TH-FK24-FK28_CERAMIC
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-2634-ND,FK26X7R2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,27973,0,0.44,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK53-SERIES.jpg,445-8360-ND,FK16X7R2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,3699,0,0.44,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.236"" (6.00mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_general_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-4715-ND,FK28C0G1H120J,TDK Corporation,CAP CER 12PF 50V 5% RADIAL,2336,0,0.3,0,1,Bulk,FK,12pF,å±5%,50V,"C0G, NP0",Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,STOCK,12pFSTOCK,CAPRB500W53L550T250H550_HS,TH-FK24-FK28_CERAMIC
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK14xxx.jpg,445-8313-ND,FK14X7R2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,1750,0,0.44,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.177"" L x 0.098"" W (4.50mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK74-SERIES.jpg,445-2649-ND,FK22X7R2E474K,TDK Corporation,CAP CER 0.47UF 250V 10% RADIAL,23990,0,1.69,0,1,Bulk,FK,0.47åuF,å±10%,250V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.295"" L x 0.157"" W (7.50mm x 4.00mm)","0.315"" (8.00mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,#N/A,,0.47åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8628-ND,FK28X7S2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,1661,0,0.41,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7S,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/Photos/TDK%20Photos/FK55-SERIES.jpg,445-8520-ND,FK24X7R2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,920,0,0.44,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7R,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.177"" L x 0.098"" W (4.50mm x 2.50mm)","0.217"" (5.50mm)",-,"0.197"" (5.00mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
http://product.tdk.com/capacitor/leadmlcc/en/documents/leadmlcc_commercial_midvoltage_en.pdf,http://media.digikey.com/photos/TDK%20Photos/FK28C0G1H470J.JPG,445-8431-ND,FK18X7S2A104K,TDK Corporation,CAP CER 0.1UF 100V 10% RADIAL,844,0,0.4,0,1,Bulk,FK,0.1åuF,å±10%,100V,X7S,Through Hole,-55å¡C ~ 125å¡C,General Purpose,-,Radial,"0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.217"" (5.50mm)",-,"0.098"" (2.50mm)",-,Formed Leads - Kinked,STOCK,,0.1åuF,,
