"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Target color?,Bright,Stock,Query,Package,Device
http://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/slr-343.pdf,"http://media.digikey.com/Photos/Rohm%20Photos/SLR-343YCT32,SLI-343YC3F.jpg",511-1258-1-ND,SLR-343YYT32,Rohm Semiconductor,LED 3.1MM 585NM YELLOW DIFFUSED,2721,0,0.54,0,1,Cut Tape (CT),-,Yellow,587nm,585nm,10mcd,2.1V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,Stock,,,Yellow,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1225-ND,SLR-322MC3F,Rohm Semiconductor,LED 3.1X2MM 563NM GREEN TRANSP,5819,0,0.52,0,1,Bulk,-,Green,572nm,563nm,25mcd,2.1V,10mA,35Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1226-ND,SLR-322MG3F,Rohm Semiconductor,LED 3.1X2MM 563NM GREEN DIFFUSED,2213,0,0.52,0,1,Bulk,-,Green,572nm,563nm,16mcd,2.1V,10mA,50Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1246-ND,SLR-342DU3F,Rohm Semiconductor,LED 3.1MM 610NM ORANGE DIFFUSED,4611,0,0.53,0,1,Bulk,-,Orange,605nm,-,16mcd,2V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Orange,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1224-ND,SLR-322DU3F,Rohm Semiconductor,LED 3.1X2MM 610NM ORANGE DIFF,1716,0,0.53,0,1,Bulk,-,Orange,605nm,610nm,6.3mcd,2V,10mA,50Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,dim,Stock,OrangedimStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1245-ND,SLR-342DC3F,Rohm Semiconductor,LED 3.1MM 610NM ORANGE TRANSP,501,0,0.53,0,1,Bulk,-,Orange,605nm,-,25mcd,2V,10mA,40Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,bright,Stock,OrangebrightStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-343.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Blue-Green.jpg,511-1367-ND,SLR343ECT3F,Rohm Semiconductor,LED 3.1MM 518NM BL-GRN WATER CLR,1616,0,2.07,0,1,Bulk,SLR-343,Blue-Green,527nm,518nm,2200mcd,3.3V,20mA,40Â°,Clear,"Round with Domed Top, 3.1mm",Radial,-,5.40mm,Through Hole,#N/A,,,Blue-Green,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-322.pdf,"http://media.digikey.com/photos/Rohm%20Photos/SLA-360MT3F,SLA-360LT3F.jpg",511-1223-ND,SLR-322DC3F,Rohm Semiconductor,LED 3.1X2MM 610NM ORANGE TRANSP,807,0,0.53,0,1,Bulk,-,Orange,605nm,610nm,16mcd,2V,10mA,35Â°,"Clear, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,,,Orange,LEDRD250W50D400H640_HS,4x6-TH-LED
-,-,1056-SLR-342-CHP,SLR-342DU3FN,Rohm Semiconductor,LED PACKAGE= CIRCULAR TYPE,2000,0,0.064,0,2000,Bulk,SLR-342,Orange,610nm,-,16mcd,2V,10mA,40Â°,Diffused,"Round with Domed Top, 3.1mm",Radial,-,4.10mm,Through Hole,Stock,,,Orange,LEDRD250W50D400H640_HS,4x6-TH-LED
http://rohmfs.rohm.com/en/products/databook/datasheet/opto/led/lamp_mono/slr-342.pdf,http://media.digikey.com/Photos/Rohm%20Photos/Radial%20LED%20Red.jpg,511-1250-ND,SLR-342VR3F,Rohm Semiconductor,LED 3.1MM 650NM RED DIFFUSED,18704,0,0.55,0,1,Bulk,-,Red,630nm,-,16mcd,2V,10mA,40Â°,"Diffused, Tinted","Round with Domed Top, 3.1mm",Radial,-,5.20mm,Through Hole,Stock,dim,Stock,ReddimStock,LEDRD250W50D400H640_HS,TH-ROHM-4X6-ROUND
