Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Regulator Topology,Voltage - Output,Current - Output,Voltage - Dropout (Typical),Number of Regulators,Voltage - Input,Current - Limit (Min),Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Stock,Query,Package,Device
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15803-1-ND,TPS73125DBVT,Texas Instruments,IC REG LDO 2.5V 0.15A SOT23-5,1966,10000,1.23,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-37688-1-ND,TPS73130DBVR,Texas Instruments,IC REG LDO 3V 0.15A SOT23-5,2986,9000,1.07,0,1,Cut Tape (CT),-,Positive Fixed,3V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-32553-1-ND,TPS73133DBVR,Texas Instruments,IC REG LDO 3.3V 0.15A SOT23-5,7755,9000,1.07,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps731.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15806-1-ND,TPS73150DBVT,Texas Instruments,IC REG LDO 5V 0.15A SOT23-5,872,10000,1.23,0,1,Cut Tape (CT),-,Positive Fixed,5V,150mA,0.03V @ 150mA,1,Up to 5.5V,150mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-32554-1-ND,TPS73201DBVR,Texas Instruments,IC REG LDO ADJ 0.25A SOT23-5,10577,6000,1.46,0,1,Cut Tape (CT),-,Positive Adjustable,1.2 V ~ 5.5 V,250mA,0.04V @ 250mA,1,1.7 V ~ 5.5 V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41770-1-ND,TPS73218DBVR,Texas Instruments,IC REG LDO 1.8V 0.25A SOT23-5,3000,0,1.46,0,1,Cut Tape (CT),-,Positive Fixed,1.8V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15810-1-ND,TPS73225DBVT,Texas Instruments,IC REG LDO 2.5V 0.25A SOT23-5,1601,10000,1.68,0,1,Cut Tape (CT),-,Positive Fixed,2.5V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-41771-1-ND,TPS73230DBVR,Texas Instruments,IC REG LDO 3V 0.25A SOT23-5,2982,3000,1.46,0,1,Cut Tape (CT),-,Positive Fixed,3V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-39483-1-ND,TPS73233DBVR,Texas Instruments,IC REG LDO 3.3V 0.25A SOT23-5,2825,9000,1.46,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
http://www.ti.com/lit/ds/symlink/tps732.pdf,http://media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,296-15813-1-ND,TPS73250DBVT,Texas Instruments,IC REG LDO 5V 0.25A SOT23-5,4957,10000,1.68,0,1,Cut Tape (CT),-,Positive Fixed,5V,250mA,0.04V @ 250mA,1,Up to 5.5V,250mA,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5,,,SOT95P280X145-5L10_HS,
