Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Voltage - Zener (Nom) (Vz),Tolerance,Power - Max,Impedance (Max) (Zzt),Current - Reverse Leakage @ Vr,Voltage - Forward (Vf) (Max) @ If,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Target Voltage,Stock,Query,Package,Device
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5380BGOS-ND,1N5380BG,ON Semiconductor,DIODE ZENER 120V 5W AXIAL,13229,0,0.53,0,1,Bulk,-,120V,å±5%,5W,170 Ohm,500nA @ 91.2V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,120V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5380BOS-ND,1N5380B,ON Semiconductor,DIODE ZENER 120V 5W AXIAL,0,0,Call,0,4000,Bulk,-,120V,å±5%,5W,170 Ohm,500nA @ 91.2V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,120V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5349BRLGOSCT-ND,1N5349BRLG,ON Semiconductor,DIODE ZENER 12V 5W AXIAL,32224,0,0.54,0,1,Cut Tape (CT),-,12V,å±5%,5W,2.5 Ohm,2åµA @ 9.1V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5927BGOS-ND,1N5927BG,ON Semiconductor,DIODE ZENER 12V 3W AXIAL,5536,0,0.43,0,1,Bulk,-,12V,å±5%,3W,6.5 Ohm,1åµA @ 9.1V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5349BGOS-ND,1N5349BG,ON Semiconductor,DIODE ZENER 12V 5W AXIAL,6889,0,0.53,0,1,Bulk,-,12V,å±5%,5W,2.5 Ohm,2åµA @ 9.1V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5927BRLGOSCT-ND,1N5927BRLG,ON Semiconductor,DIODE ZENER 12V 3W AXIAL,0,0,Call,0,1,Cut Tape (CT),-,12V,å±5%,3W,6.5 Ohm,1åµA @ 9.1V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5349BRLOSCT-ND,1N5349BRL,ON Semiconductor,DIODE ZENER 12V 5W AXIAL,0,0,Call,0,10,Cut Tape (CT),-,12V,å±5%,5W,2.5 Ohm,2åµA @ 9.1V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5927B-ND,1N5927B,ON Semiconductor,DIODE ZENER 12V 3W AXIAL,0,0,Call,0,6000,Bulk,-,12V,å±5%,3W,6.5 Ohm,1åµA @ 9.1V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5349BOS-ND,1N5349B,ON Semiconductor,DIODE ZENER 12V 5W AXIAL,0,0,Call,0,2000,Bulk,-,12V,å±5%,5W,2.5 Ohm,2åµA @ 9.1V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,12V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5381BRLGOSCT-ND,1N5381BRLG,ON Semiconductor,DIODE ZENER 130V 5W AXIAL,4299,8000,0.52,0,1,Cut Tape (CT),-,130V,å±5%,5W,190 Ohm,500nA @ 98.8V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,130V,,
http://www.onsemi.com/pub_link/Collateral/1N5913B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/DO-204AL.jpg,1N5952BRLGOSCT-ND,1N5952BRLG,ON Semiconductor,DIODE ZENER 130V 3W AXIAL,0,0,Call,0,1,Cut Tape (CT),-,130V,å±5%,3W,450 Ohm,1åµA @ 98.8V,1.5V @ 200mA,-65å¡C ~ 200å¡C,Through Hole,"DO-204AL, DO-41, Axial",Axial,#N/A,,130V,,
http://www.onsemi.com/pub_link/Collateral/1N5333B-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/SurmeticP6KE_6.8A.jpg,1N5381BG-ND,1N5381BG,ON Semiconductor,DIODE ZENER 130V 5W AXIAL,0,0,Call,0,5000,Bulk,-,130V,å±5%,5W,190 Ohm,500nA @ 98.8V,1.2V @ 1A,-65å¡C ~ 200å¡C,Through Hole,"T-18, Axial",Axial,#N/A,,130V,,
