Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,Column1,Stock,Query,Package,Device
http://www.diodes.com/datasheets/ZVP4424A.pdf,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",ZVP4424A-ND,ZVP4424A,Diodes Incorporated,MOSFET P-CH 240V 200MA TO92-3,5937,0,1.16,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,240V,200mA (Ta),"9 Ohm @ 200mA, 10V",2V @ 1mA,-,200pF @ 25V,750mW,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570142,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TP0604N3-G-ND,TP0604N3-G,Microchip Technology,MOSFET P-CH 40V 430MA TO92-3,427,0,1.45,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,40V,430mA (Tj),"2 Ohm @ 1A, 10V",2.4V @ 1mA,-,150pF @ 20V,740mW,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570635,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",LP0701N3-G-ND,LP0701N3-G,Microchip Technology,MOSFET P-CH 16.5V 500MA TO92-3,469,0,1.64,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,16.5V,500mA (Tj),"1.5 Ohm @ 300mA, 5V",1V @ 1mA,-,250pF @ 15V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,Stock,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570671,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TP0620N3-G-ND,TP0620N3-G,Microchip Technology,MOSFET P-CH 200V 175MA TO92-3,785,0,1.58,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,200V,175mA (Tj),"12 Ohm @ 200mA, 10V",2.4V @ 1mA,-,150pF @ 25V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570680,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TP2540N3-G-ND,TP2540N3-G,Microchip Technology,MOSFET P-CH 400V 86MA TO92-3,857,0,1.58,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,400V,86mA (Tj),"25 Ohm @ 100mA, 10V",2.4V @ 1mA,-,125pF @ 25V,740mW,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en570681,"http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",TP2635N3-G-ND,TP2635N3-G,Microchip Technology,MOSFET P-CH 350V 180MA TO92-3,990,0,1.78,0,1,Bulk,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,350V,180mA (Tj),"15 Ohm @ 300mA, 10V",2V @ 1mA,-,300pF @ 25V,1W,Through Hole,"TO-226-3, TO-92-3 (TO-226AA)",TO-92-3,,,,TO-92-3_HS,TH-TO-92-3-OFFSET
http://www.fairchildsemi.com/datasheets/ND/NDB6020P.pdf,http://media.digikey.com/Renders/Fairchild%20Semi%20Renders/TO-220-3.jpg,NDP6020P-ND,NDP6020P,Fairchild Semiconductor,MOSFET P-CH 20V 24A TO-220,2975,1600,1.66,0,1,Tube,-,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,24A (Tc),"50 mOhm @ 12A, 4.5V",1V @ 250µA,35nC @ 5V,1590pF @ 10V,60W,Through Hole,TO-220-3,TO-220,,Stock,,TO254P1524X1054X470-3,TH-TO-220-3
