Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Package / Case,Supplier Device Package,Stock,Package,Device
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SNRCT-ND,ATTINY25V-10SNR,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,7885,0,2.73,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,ATTINY45V-10PU-ND,ATTINY45V-10PU,Atmel,IC MCU 8BIT 4KB FLASH 8DIP,3128,0,2.71,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-DIP (0.300"", 7.62mm)",8-PDIP,,DIP762W26P254L990H368Q8_HS,TH-DIP8
http://www.atmel.com/Images/Atmel-7598_Automotive-Microcontrollers-ATtiny25-45-85_Datasheet.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25-15ST1CT-ND,ATTINY25-15ST1,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,1538,0,2.7,0,1,Cut Tape (CT),"Automotive, AEC-Q100, AVR¨ ATtiny",AVR,8-Bit,16MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,2.7 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SSN-ND,ATTINY25V-10SSN,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,2240,0,2.68,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.154"", 3.90mm Width)",8-SOIC,,SOIC127P600X175-8L86_HS,SMD-SOIC8-JEDEC
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY25V-10SN-ND,ATTINY25V-10SN,Atmel,IC MCU 8BIT 2KB FLASH 8SOIC,409,0,2.68,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 105¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45V-10SURCT-ND,ATTINY45V-10SUR,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,10691,0,2.66,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY45V-10SHRCT-ND,ATTINY45V-10SHR,Atmel,IC MCU 8BIT 4KB FLASH 8SOIC,5982,0,2.66,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,4KB (2K x 16),FLASH,256 x 8,256 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,ATTINY85V-10PU-ND,ATTINY85V-10PU,Atmel,IC MCU 8BIT 8KB FLASH 8DIP,1390,0,2.65,0,1,Tube,AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-DIP (0.300"", 7.62mm)",8-PDIP,,DIP762W26P254L990H368Q8_HS,TH-DIP8
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85V-10SURCT-ND,ATTINY85V-10SUR,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,4084,0,2.6,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
http://www.atmel.com/Images/Atmel-2586-AVR-8-bit-Microcontroller-ATtiny25-ATtiny45-ATtiny85_Datasheet-Summary.pdf,http://media.digikey.com/Renders/Atmel Renders/8-SOIC.jpg,ATTINY85V-10SHRCT-ND,ATTINY85V-10SHR,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,1833,0,2.6,0,1,Cut Tape (CT),AVR¨ ATtiny,AVR,8-Bit,10MHz,USI,"Brown-out Detect/Reset, POR, PWM, WDT",6,8KB (4K x 16),FLASH,512 x 8,512 x 8,1.8 V ~ 5.5 V,A/D 4x10b,Internal,-40¡C ~ 85¡C,"8-SOIC (0.209"", 5.30mm Width)",8-SOIC,,SOIC127P798X216-8L34_HS,SMD-SOIC8-EIAJ
