"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,Stock Color?,Stock,Brightness,Query,Package,Device,Column3
http://optoelectronics.liteon.com/upload/download/DS22-2010-0023/S_110_LTST-C194TGKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1838-1-ND,LTST-C194TGKT,Lite-On Inc,LED GREEN RECT CLEAR 0603,15888,0,0.51,0,1,Cut Tape (CT),-,Green,525nm,530nm,260.5mcd,3.2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,Stock,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0186/S_110_LTST-C190KFKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1434-1-ND,LTST-C190KFKT,Lite-On Inc,LED YELLOW ORANGE CLEAR 0603 SMD,120976,0,0.26,0,1,Cut Tape (CT),-,Orange,605nm,611nm,90mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,bright,OrangebrightStock,,2012-0805,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190AKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190AKT,LTST-C190CKT,LTST-C190EKT,LTST-C190GKT,LTST-C190YKT.jpg",160-1180-1-ND,LTST-C190AKT,Lite-On Inc,LED AMBER CLEAR 0603 SMD,44527,0,0.3,0,1,Cut Tape (CT),-,Orange,602nm,610nm,2mcd,2.1V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,Stock,Stock,dim,OrangedimStock,,2012-0805,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C190CKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190AKT,LTST-C190CKT,LTST-C190EKT,LTST-C190GKT,LTST-C190YKT.jpg",160-1181-1-ND,LTST-C190CKT,Lite-On Inc,LED RED CLEAR 0603 SMD,115287,0,0.34,0,1,Cut Tape (CT),-,Red,638nm,660nm,10mcd,1.8V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-230/S_110_LTST-C191TBKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,160-1647-1-ND,LTST-C191TBKT,Lite-On Inc,LED 468NM BLUE CLEAR 0603 SMD,216209,0,0.46,0,1,Cut Tape (CT),-,Blue,467.5nm,468nm,30mcd,3.4V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.1mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.55mm,Surface Mount,#N/A,,,Blue,,,
http://optoelectronics.liteon.com/upload/download/DS22-2007-0094/S_110_LTST-C193KGKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1828-1-ND,LTST-C193KGKT-5A,Lite-On Inc,LED GREEN RECT CLEAR 0603,117409,0,0.43,0,1,Cut Tape (CT),-,Green,572nm,574nm,16.25mcd,2V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,#N/A,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS22-2005-077/S_110_LTST-C193KRKT-5A.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1830-1-ND,LTST-C193KRKT-5A,Lite-On Inc,LED RED RECT CLEAR 0603,104495,0,0.43,0,1,Cut Tape (CT),-,Red,631nm,639nm,26.05mcd,2V,5mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.35mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS22-2010-0197/S_110_LTST-C194KGKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,160-1834-1-ND,LTST-C194KGKT,Lite-On Inc,LED GREEN RECT CLEAR 0603,51808,0,0.43,0,1,Cut Tape (CT),-,Green,572nm,574nm,65mcd,2.1V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,#N/A,,,Green,,,
http://optoelectronics.liteon.com/upload/download/DS22-2010-0195/S_110_LTST-C194KRKT.pdf,http://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C194KFKT.jpg,160-1835-1-ND,LTST-C194KRKT,Lite-On Inc,LED RED RECT CLEAR 0603,47971,0,0.43,0,1,Cut Tape (CT),-,Red,631nm,639nm,95.6mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.15mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.30mm,Surface Mount,#N/A,,,Red,,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0224/S_110_LTST-C190TBKT(0630).pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190TBKT,LTST-C190KAKT,LTST-C190KFKT.jpg",160-1646-1-ND,LTST-C190TBKT,Lite-On Inc,LED 468NM BLUE CLEAR 0603 SMD,374855,0,0.49,0,1,Cut Tape (CT),-,Blue,467.5nm,468nm,30mcd,3.4V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.06mm x 0.8mm",0603 (1608 Metric),1.60mm L x 0.80mm W,0.80mm,Surface Mount,#N/A,,,Blue,,,
