"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,Stock,Query,Package,Column4,Column5
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2338-1-ND,TAJA334K035RNJ,AVX Corporation,CAP TANT 0.33UF 35V 10% 1206,5074,0,0.5,0,1,Cut Tape (CT),TAJ,0.33åuF,å±10%,35V,15 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.33åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3964-1-ND,TAJR474K020RNJ,AVX Corporation,CAP TANT 0.47UF 20V 10% 0805,3858,0,1.24,0,1,Cut Tape (CT),TAJ,0.47åµF,å±10%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.47åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2339-1-ND,TAJA474K025RNJ,AVX Corporation,CAP TANT 0.47UF 25V 10% 1206,4955,0,0.46,0,1,Cut Tape (CT),TAJ,0.47åµF,å±10%,25V,14 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.47åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-2373-1-ND,TAJB474K035RNJ,AVX Corporation,CAP TANT 0.47UF 35V 10% 1210,6651,0,0.51,0,1,Cut Tape (CT),TAJ,0.47åµF,å±10%,35V,10 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,0.47åµF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8931-1-ND,TAJR474M020RNJ,AVX Corporation,CAP TANT 0.47UF 20V 20% 0805,3762,0,0.65,0,1,Cut Tape (CT),TAJ,0.47åµF,å±20%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.47åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-2378-1-ND,TAJB474K050RNJ,AVX Corporation,CAP TANT 0.47UF 50V 10% 1210,3528,0,0.67,0,1,Cut Tape (CT),TAJ,0.47åuF,å±10%,50V,9.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,0.47åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2340-1-ND,TAJA474K035RNJ,AVX Corporation,CAP TANT 0.47UF 35V 10% 1206,4984,0,1.13,0,1,Cut Tape (CT),TAJ,0.47åuF,å±10%,35V,12 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.47åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-8884-1-ND,TAJA474K050RNJ,AVX Corporation,CAP TANT 0.47UF 50V 10% 1206,1769,0,0.7,0,1,Cut Tape (CT),TAJ,0.47åuF,å±10%,50V,9.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.47åuF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,-,478-3287-1-ND,TAJS474K020RNJ,AVX Corporation,CAP TANT 0.47UF 20V 10% 1206,0,0,Call,0,1,Cut Tape (CT),TAJ,0.47åµF,å±10%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.047"" (1.20mm)",-,S,General Purpose,,0.47åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2341-1-ND,TAJA684K035RNJ,AVX Corporation,CAP TANT 0.68UF 35V 10% 1206,6695,0,0.43,0,1,Cut Tape (CT),TAJ,0.68åuF,å±10%,35V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.68åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3044-1-ND,TAJB684M035RNJ,AVX Corporation,CAP TANT 0.68UF 35V 20% 1210,5148,0,0.5,0,1,Cut Tape (CT),TAJ,0.68åuF,å±20%,35V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,0.68åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-2379-1-ND,TAJB684K050RNJ,AVX Corporation,CAP TANT 0.68UF 50V 10% 1210,5472,0,0.79,0,1,Cut Tape (CT),TAJ,0.68åuF,å±10%,50V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1210 (3528 Metric),"0.138"" L x 0.110"" W (3.50mm x 2.80mm)","0.083"" (2.10mm)",-,B,General Purpose,,0.68åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-2362-1-ND,TAJA684K025RNJ,AVX Corporation,CAP TANT 0.68UF 25V 10% 1206,0,0,Call,0,1,Cut Tape (CT),TAJ,0.68åµF,å±10%,25V,10 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.68åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-3033-1-ND,TAJA684M025RNJ,AVX Corporation,CAP TANT 0.68UF 25V 20% 1206,0,0,Call,0,1,Cut Tape (CT),TAJ,0.68åµF,å±20%,25V,10 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,0.68åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,http://media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-2342-1-ND,TAJC684K050RNJ,AVX Corporation,CAP TANT 0.68UF 50V 10% 2312,0,0,Call,0,1,Cut Tape (CT),TAJ,0.68åµF,å±10%,50V,7 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,2312 (6032 Metric),"0.236"" L x 0.126"" W (6.00mm x 3.20mm)","0.110"" (2.80mm)",-,C,General Purpose,,0.68åµF,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3058-1-ND,TAJR684M016RNJ,AVX Corporation,CAP TANT 0.68UF 16V 20% 0805,0,0,Call,0,1,Cut Tape (CT),TAJ,0.68åµF,å±20%,16V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,,0.68åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1651-1-ND,TAJA105K035RNJ,AVX Corporation,CAP TANT 1UF 35V 10% 1206,69687,0,0.39,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,35V,7.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1652-1-ND,TAJA105M016RNJ,AVX Corporation,CAP TANT 1UF 16V 20% 1206,32569,0,0.55,0,1,Cut Tape (CT),TAJ,1.0åuF,å±20%,16V,11 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1649-1-ND,TAJA105K016RNJ,AVX Corporation,CAP TANT 1UF 16V 10% 1206,43199,0,0.62,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,16V,11 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åµF,,,
http://www.avx.com/docs/Catalogs/taj.pdf,"http://media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.6H,3.2L,1.6W.jpg",478-1650-1-ND,TAJA105K020RNJ,AVX Corporation,CAP TANT 1UF 20V 10% 1206,169240,0,0.63,0,1,Cut Tape (CT),TAJ,1.0åuF,å±10%,20V,9 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,1206 (3216 Metric),"0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.071"" (1.80mm)",-,A,General Purpose,,1.0åuF,,,
