"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style,Stock Capacitance,Stock,Query,Package,Device
http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,http://media.digikey.com/Renders/TDK%20Renders/C%20Series%200805(2012%20Metric)%2013.jpg,445-7553-1-ND,C2012X7R1V335K125AC,TDK Corporation,CAP CER 3.3UF 35V 10% X7R 0805,19565,0,0.57,0,1,Cut Tape (CT),C,3.3ÂuF,Â±10%,35V,X7R,"Surface Mount, MLCC",-55Â°C ~ 125Â°C,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.057"" (1.45mm)",-,-,-,#N/A,STOCK,3.3ÂuFSTOCK,,2012-0805_CERAMIC
http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,http://media.digikey.com/Renders/TDK%20Renders/C%20Series%200603(1608%20Metric)%209.jpg,445-14167-1-ND,C1608X5R1V335K080AC,TDK Corporation,CAP CER 3.3UF 35V 10% X5R 0603,1677,0,0.36,0,1,Cut Tape (CT),C,3.3ÂuF,Â±10%,35V,X5R,"Surface Mount, MLCC",-55Â°C ~ 85Â°C,General Purpose,-,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)",-,"0.035"" (0.90mm)",-,-,-,#N/A,STOCK,3.3ÂuFSTOCK,,2012-0805_CERAMIC
