"‹¯¨""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Mounting Type,Operating Temperature,Applications,Ratings,Package / Case,Size / Dimension,Height - Seated (Max),Thickness (Max),Lead Spacing,Features,Lead Style
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-1405-1-ND,0805ZC105KAT2A,AVX Corporation,CAP CER 1UF 10V 10% X7R 0805,246647,0,0.27,0,1,Cut Tape (CT),-,1.0uF,¶ñ10%,10V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5165-1-ND,0805YD106KAT2A,AVX Corporation,CAP CER 10UF 16V 10% X5R 0805,460683,0,0.29,0,1,Cut Tape (CT),-,10uF,¶ñ10%,16V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-1403-1-ND,0805YC474KAT2A,AVX Corporation,CAP CER 0.47UF 16V 10% X7R 0805,336561,0,0.29,0,1,Cut Tape (CT),-,0.47uF,¶ñ10%,16V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/ccog.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1332-1-ND,08053A472JAT2A,AVX Corporation,CAP CER 4700PF 25V 5% NP0 0805,101611,0,0.29,0,1,Cut Tape (CT),-,4700pF,¶ñ5%,25V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.057"" (1.45mm)",-,-,-
http://www.avx.com/docs/Catalogs/ccog.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1266-1-ND,08052A100JAT2A,AVX Corporation,CAP CER 10PF 200V 5% NP0 0805,67992,0,0.32,0,1,Cut Tape (CT),-,10pF,¶ñ5%,200V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1341-1-ND,08052C222KAT2A,AVX Corporation,CAP CER 2200PF 200V 10% X7R 0805,45897,0,0.34,0,1,Cut Tape (CT),-,2200pF,¶ñ10%,200V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5780-1-ND,08051C104JAT2A,AVX Corporation,CAP CER 0.1UF 100V 5% X7R 0805,22832,0,0.32,0,1,Cut Tape (CT),-,0.1uF,¶ñ5%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5028-1-ND,08051C104KAT2A,AVX Corporation,CAP CER 0.1UF 100V 10% X7R 0805,40127,0,0.32,0,1,Cut Tape (CT),-,0.1uF,¶ñ10%,100V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-1415-1-ND,0805ZD475KAT2A,AVX Corporation,CAP CER 4.7UF 10V 10% X5R 0805,37816,0,0.32,0,1,Cut Tape (CT),-,4.7uF,¶ñ10%,10V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5167-1-ND,0805ZD106KAT2A,AVX Corporation,CAP CER 10UF 10V 10% X5R 0805,22579,0,0.36,0,1,Cut Tape (CT),-,10uF,¶ñ10%,10V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/ccog.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-3766-1-ND,08055A471FAT2A,AVX Corporation,CAP CER 470PF 50V 1% NP0 0805,54493,0,0.36,0,1,Cut Tape (CT),-,470pF,¶ñ1%,50V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5322-1-ND,08056C106KAT2A,AVX Corporation,CAP CER 10UF 6.3V 10% X7R 0805,42423,0,0.4,0,1,Cut Tape (CT),-,10uF,¶ñ10%,6.3V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-1409-1-ND,08053D105KAT2A,AVX Corporation,CAP CER 1UF 25V 10% X5R 0805,120583,0,0.48,0,1,Cut Tape (CT),-,1.0uF,¶ñ10%,25V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5321-1-ND,08053D475MAT2A,AVX Corporation,CAP CER 4.7UF 25V 20% X5R 0805,79152,0,0.49,0,1,Cut Tape (CT),-,4.7uF,¶ñ20%,25V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805xl.jpg,478-5995-1-ND,08055D105KAT2A,AVX Corporation,CAP CER 1UF 50V 10% X5R 0805,10888,0,0.49,0,1,Cut Tape (CT),-,1.0uF,¶ñ10%,50V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.060"" (1.52mm)",-,-,-
http://www.avx.com/docs/Catalogs/ccog.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-3759-1-ND,08055A102FAT2A,AVX Corporation,CAP CER 1000PF 50V 1% NP0 0805,52159,0,0.58,0,1,Cut Tape (CT),-,1000pF,¶ñ1%,50V,"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5033-1-ND,08055C474KAT2A,AVX Corporation,CAP CER 0.47UF 50V 10% X7R 0805,17475,0,0.55,0,1,Cut Tape (CT),-,0.47uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-1346-1-ND,08052C153KAT2A,AVX Corporation,CAP CER 0.015UF 200V X7R 0805,20059,0,0.81,0,1,Cut Tape (CT),-,0.015uF,¶ñ10%,200V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5166-1-ND,0805YD475KAT2A,AVX Corporation,CAP CER 4.7UF 16V 10% X5R 0805,20498,0,0.84,0,1,Cut Tape (CT),-,4.7uF,¶ñ10%,16V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-6224-1-ND,0805ZC105JAT2A,AVX Corporation,CAP CER 1UF 10V 5% X7R 0805,18001,0,0.81,0,1,Cut Tape (CT),-,1.0uF,¶ñ5%,10V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-5030-1-ND,08053C105KAT2A,AVX Corporation,CAP CER 1UF 25V 10% X7R 0805,31701,0,0.88,0,1,Cut Tape (CT),-,1.0uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805xl.jpg,478-5719-1-ND,08053C225KAT2A,AVX Corporation,CAP CER 2.2UF 25V 10% X7R 0805,48692,0,0.94,0,1,Cut Tape (CT),-,2.2uF,¶ñ10%,25V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.060"" (1.52mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805xl.jpg,478-5722-1-ND,0805YC475KAT2A,AVX Corporation,CAP CER 4.7UF 16V 10% X7R 0805,50355,0,0.94,0,1,Cut Tape (CT),-,4.7uF,¶ñ10%,16V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.060"" (1.52mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805xl.jpg,478-7964-1-ND,0805ZC475KAT2A,AVX Corporation,CAP CER 4.7UF 10V 10% X7R 0805,9737,0,0.94,0,1,Cut Tape (CT),-,4.7uF,¶ñ10%,10V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.060"" (1.52mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805%282012%29.jpg,478-4598-1-ND,0805YD106MAT2A,AVX Corporation,CAP CER 10UF 16V 20% X5R 0805,47118,0,1.4,0,1,Cut Tape (CT),-,10uF,¶ñ20%,16V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-7436-1-ND,08053D106KAT2A,AVX Corporation,CAP CER 10UF 25V 10% X5R 0805,10329,0,1.4,0,1,Cut Tape (CT),-,10uF,¶ñ10%,25V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.051"" (1.30mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-7949-1-ND,08053D105MAT2A,AVX Corporation,CAP CER 1UF 25V 20% X5R 0805,11200,0,1.53,0,1,Cut Tape (CT),-,1.0uF,¶ñ20%,25V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.055"" (1.40mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx7r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-7956-1-ND,08055C105KAT2A,AVX Corporation,CAP CER 1UF 50V 10% X7R 0805,14879,0,1.6,0,1,Cut Tape (CT),-,1.0uF,¶ñ10%,50V,X7R,"Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.037"" (0.94mm)",-,-,-
http://www.avx.com/docs/Catalogs/cx5r.pdf,http://media.digikey.com/photos/AVX%20Photos/CERAMIC%20NULL%20SERIES%200805.jpg,478-7966-1-ND,0805ZD226MAT2A,AVX Corporation,CAP CER 22UF 10V 20% X5R 0805,17080,0,1.95,0,1,Cut Tape (CT),-,22uF,¶ñ20%,10V,X5R,"Surface Mount, MLCC",-55¶øC ~ 85¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)",-,"0.060"" (1.52mm)",-,-,-
http://www.avx.com/docs/Catalogs/aphvc.pdf,http://media.digikey.com/Renders/AVX%20Renders/0805-12.jpg,478-3996-1-ND,0805AA101KAT1A,AVX Corporation,CAP CER 100PF 1KV 10% NP0 0805,19003,0,2.25,0,1,Cut Tape (CT),-,100pF,¶ñ10%,1000V (1kV),"C0G, NP0","Surface Mount, MLCC",-55¶øC ~ 125¶øC,General Purpose,-,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.01mm x 1.25mm)",-,"0.051"" (1.30mm)",-,High Voltage,-
