Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,FET Type,FET Feature,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25°C,"Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) @ Vgs,Input Capacitance (Ciss) @ Vds,Power - Max,Mounting Type,Package / Case,Supplier Device Package,,Stock,Query,Package,Device
http://www.vishay.com/docs/72699/72699.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2307BDS-T1-E3CT-ND,SI2307BDS-T1-E3,Vishay Siliconix,MOSFET P-CH 30V 2.5A SOT23-3,17390,0,0.48,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,2.5A (Ta),"78 mOhm @ 3.2A, 10V",3V @ 250µA,15nC @ 10V,380pF @ 15V,750mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/68980/si2309cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2309CDS-T1-GE3CT-ND,SI2309CDS-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 1.6A SOT23-3,8141,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,1.6A (Tc),"345 mOhm @ 1.25A, 10V",3V @ 250µA,4.1nC @ 4.5V,210pF @ 30V,1.7W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/68980/si2309cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,SI2309CDS-T1-E3CT-ND,SI2309CDS-T1-E3,Vishay Siliconix,MOSFET P-CH 60V 1.6A SOT23-3,1598,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,1.6A (Tc),"345 mOhm @ 1.25A, 10V",3V @ 250µA,4.1nC @ 4.5V,210pF @ 30V,1.7W,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.irf.com/product-info/datasheets/data/irf7416pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/8-SOIC_751.jpg,IRF7416TRPBFCT-ND,IRF7416TRPBF,International Rectifier,MOSFET P-CH 30V 10A 8-SOIC,19642,0,1.4,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,10A (Ta),"20 mOhm @ 5.6A, 10V",1V @ 250µA,92nC @ 10V,1700pF @ 25V,2.5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,
http://www.irf.com/product-info/datasheets/data/irf7416pbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/8-SOIC_751.jpg,IRF7416PBF-ND,IRF7416PBF,International Rectifier,MOSFET P-CH 30V 10A 8-SOIC,4191,0,1.33,0,1,Tube,HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,10A (Ta),"20 mOhm @ 5.6A, 10V",1V @ 250µA,92nC @ 10V,1700pF @ 25V,2.5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,
http://www.irf.com/product-info/datasheets/data/irf7416gpbf.pdf,http://media.digikey.com/Renders/International%20Rectifier%20Renders/8-SOIC_751.jpg,IRF7416GTRPBFCT-ND,IRF7416GTRPBF,International Rectifier,MOSFET P-CH 30V 10A 8-SOIC,3601,0,1.53,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,10A (Ta),"20 mOhm @ 5.6A, 10V",1V @ 250µA,92nC @ 10V,1700pF @ 25V,2.5W,Surface Mount,"8-SOIC (0.154"", 3.90mm Width)",8-SO,,,,SOIC127P600X175-8L86_HS,
http://www.irf.com/product-info/datasheets/data/irf5805pbf.pdf,http://media.digikey.com/Photos/International%20Rectifier%20Photos/IRF5800TRPBF.jpg,IRF5805TRPBFCT-ND,IRF5805TRPBF,International Rectifier,MOSFET P-CH 30V 3.8A 6-TSOP,7277,0,0.61,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,3.8A (Ta),"98 mOhm @ 3.8A, 10V",2.5V @ 250µA,17nC @ 10V,511pF @ 25V,2W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",Micro6™(TSOP-6),,,,SOP100P275X110-6L28_HS,
http://www.irf.com/product-info/datasheets/data/irf7606pbf.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,IRF7606TRPBFCT-ND,IRF7606TRPBF,International Rectifier,MOSFET P-CH 30V 3.6A MICRO8,5286,0,0.99,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,3.6A (Ta),"90 mOhm @ 2.4A, 10V",1V @ 250µA,30nC @ 10V,520pF @ 25V,1.8W,Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Micro8™,,,,SOT65P490X110-8L25_HS,
http://www.irf.com/product-info/datasheets/data/irf5806pbf.pdf,http://media.digikey.com/Photos/International%20Rectifier%20Photos/IRF5800TRPBF.jpg,IRF5806TRPBFCT-ND,IRF5806TRPBF,International Rectifier,MOSFET P-CH 20V 4A 6-TSOP,9970,0,0.66,0,1,Cut Tape (CT),HEXFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,20V,4A (Ta),"86 mOhm @ 4A, 4.5V",1.2V @ 250µA,11.4nC @ 4.5V,594pF @ 15V,2W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",Micro6™(TSOP-6),,,,SOP100P275X110-6L28_HS,
http://www.vishay.com/docs/69954/si3459bd.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SI3459BDV-T1-GE3CT-ND,SI3459BDV-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 2.9A 6-TSOP,13406,0,0.64,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,2.9A (Tc),"216 mOhm @ 2.2A, 10V",3V @ 250µA,12nC @ 10V,350pF @ 30V,3.3W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,
http://www.vishay.com/docs/67057/sq1421ee.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SQ1421EEH-T1-GE3CT-ND,SQ1421EEH-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 1.6A SC70-6,3210,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,1.6A (Tc),"290 mOhm @ 2A, 10V",2.5V @ 250µA,5.4nC @ 4.5V,355pF @ 25V,3.3W,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,Stock,,SOT65P210X110-6L20_HS,
http://www.vishay.com/docs/68602/si3457cd.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/6-TSOP.jpg,SI3457CDV-T1-GE3CT-ND,SI3457CDV-T1-GE3,Vishay Siliconix,MOSFET P-CH 30V 5.1A 6-TSOP,3732,0,0.56,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,5.1A (Tc),"74 mOhm @ 4.1A, 10V",3V @ 250µA,15nC @ 10V,450pF @ 15V,3W,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",6-TSOP,,,,SOP95P284X100-6L18_HS,
http://www.vishay.com/docs/62843/sud08p06-155l-ge3.pdf,"http://media.digikey.com/Photos/Vishay%20Siliconix%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.jpg",SUD08P06-155L-GE3CT-ND,SUD08P06-155L-GE3,Vishay Siliconix,MOSFET P-CH 60V 8.4A DPAK,1210,0,0.94,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,8.4A (Tc),"155 mOhm @ 5A, 10V",3V @ 250µA,19nC @ 10V,450pF @ 25V,1.7W,Surface Mount,"TO-252-3, DPak (2 Leads + Tab), SC-63",TO-252,,,,TO456P990X238-3_HS,
http://www.vishay.com/docs/74441/si1469dh.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SI1469DH-T1-E3CT-ND,SI1469DH-T1-E3,Vishay Siliconix,MOSFET P-CH 20V 2.7A SC70-6,24152,0,0.58,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",20V,2.7A (Tc),"80 mOhm @ 2A, 10V",1.5V @ 250µA,8.5nC @ 4.5V,470pF @ 10V,2.78W,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,,,SOT65P210X110-6L20_HS,
http://www.vishay.com/docs/74441/si1469dh.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SI1469DH-T1-GE3CT-ND,SI1469DH-T1-GE3,Vishay Siliconix,MOSFET P-CH 20V 2.7A SC-70-6,124,0,0.66,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",20V,2.7A (Tc),"80 mOhm @ 2A, 10V",1.5V @ 250µA,8.5nC @ 4.5V,470pF @ 10V,2.78W,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,,,SOT65P210X110-6L20_HS,
http://www.vishay.com/docs/67093/si1403cd.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SI1403CDL-T1-GE3CT-ND,SI1403CDL-T1-GE3,Vishay Siliconix,MOSFET P-CH 20V 2.1A SC-70-6,1369,0,0.44,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide","Logic Level Gate, 2.5V Drive",20V,2.1A (Tc),"140 mOhm @ 1.6A, 4.5V",1.5V @ 250µA,8nC @ 4.5V,281pF @ 10V,900mW,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,,,SOT65P210X110-6L20_HS,
http://www.vishay.com/docs/67048/sq1431eh.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,SQ1431EH-T1-GE3CT-ND,SQ1431EH-T1-GE3,Vishay Siliconix,MOSFET P-CH 30V 3A SC70,1364,0,0.59,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,3A (Tc),"175 mOhm @ 2A, 10V",2V @ 250µA,6.5nC @ 4.5V,205pF @ 25V,3W,Surface Mount,"6-TSSOP, SC-88, SOT-363",SC-70-6 (SOT-363),,,,SOT65P210X110-6L20_HS,
http://www.vishay.com/docs/71609/71609.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,TP0202K-T1-E3CT-ND,TP0202K-T1-E3,Vishay Siliconix,MOSFET P-CH 30V 385MA SOT23-3,18,0,0.65,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,30V,385mA (Ta),"1.4 Ohm @ 500mA, 10V",3V @ 250µA,1nC @ 10V,31pF @ 15V,350mW,Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),,,,SOT95P237X112-3L40_HS,
http://www.vishay.com/docs/71410/71410.pdf,http://media.digikey.com/Renders/Vishay%20Siliconix%20Renders/Pkg%205868.jpg,SI1021R-T1-GE3CT-ND,SI1021R-T1-GE3,Vishay Siliconix,MOSFET P-CH 60V 190MA SC-75A,10835,0,0.44,0,1,Cut Tape (CT),TrenchFET®,"MOSFET P-Channel, Metal Oxide",Logic Level Gate,60V,190mA (Ta),"4 Ohm @ 500mA, 10V",3V @ 250µA,1.7nC @ 15V,23pF @ 25V,250mW,Surface Mount,SC-75A,SC-75A,,Stock,,SOT50P160X85-3L20_HS,
